                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0259,                 4.1056,                 4.2145,                0.00238,                0.49327,                0.00197,                0.00074,                 2.6632,                 4.1351,                  4.149,                 0.0982,                 0.0002,                 0.0002
                      1,                 3.0627,                 4.0867,                 4.1983,                0.00237,                0.48879,                0.00206,                0.00075,                 2.6598,                 4.0911,                 4.1354,                0.09549,              0.0004901,              0.0004901
                      2,                  2.999,                 4.0141,                 4.1848,                0.00237,                0.49327,                0.00199,                0.00077,                  2.656,                 4.0588,                  4.119,               0.092768,             0.00076832,             0.00076832
                      3,                 3.0564,                 3.9243,                 4.1574,                0.00224,                0.14798,                0.00166,                0.00062,                 2.6507,                 4.0435,                 4.0998,               0.090035,              0.0010347,              0.0010347
                      4,                 3.0634,                 3.8648,                  4.128,                0.00238,                0.20179,                0.00184,                0.00067,                 2.6451,                 4.0391,                 4.0766,               0.087289,              0.0012891,              0.0012891
                      5,                 3.1188,                 3.8473,                 4.1006,                0.00226,                0.30045,                0.00175,                0.00065,                  2.643,                 4.0385,                 4.0529,               0.084532,              0.0015317,              0.0015317
                      6,                 3.0184,                 3.7787,                 4.0701,                0.00236,                0.17489,                0.00189,                0.00068,                   2.64,                 4.0428,                 4.0293,               0.081762,              0.0017624,              0.0017624
                      7,                 3.0673,                 3.7663,                 4.0369,                0.00224,                0.21973,                 0.0017,                0.00063,                 2.6375,                 4.0426,                 4.0036,               0.078981,              0.0019812,              0.0019812
                      8,                 3.0888,                 3.7152,                 3.9998,                0.00224,                0.32287,                0.00227,                0.00081,                  2.634,                 4.0527,                  3.975,               0.076188,              0.0021882,              0.0021882
                      9,                 3.0647,                 3.7364,                 3.9779,                0.00244,                0.18386,                0.00202,                0.00078,                 2.6311,                 4.0344,                 3.9469,               0.073383,              0.0023832,              0.0023832
                     10,                  2.928,                 3.6136,                 3.9322,                0.00234,                0.20179,                0.00197,                0.00073,                  2.626,                  4.003,                 3.9201,               0.070566,              0.0025664,              0.0025664
                     11,                 3.0626,                 3.6038,                 3.9257,                0.00237,                0.30942,                0.00251,                0.00085,                 2.6225,                 3.9663,                 3.8957,               0.067738,              0.0027377,              0.0027377
                     12,                 3.1112,                 3.5664,                 3.9075,                0.00259,                0.53363,                 0.0036,                0.00124,                 2.6195,                 3.9424,                 3.8751,               0.064897,              0.0028971,              0.0028971
                     13,                 3.0132,                  3.514,                 3.8687,                0.00258,                0.53363,                0.00976,                0.00312,                 2.6181,                 3.9283,                 3.8549,               0.062045,              0.0030447,              0.0030447
                     14,                 3.0347,                 3.4459,                 3.8505,                0.00253,                0.52466,                0.01017,                0.00322,                 2.6168,                 3.9142,                 3.8362,                0.05918,              0.0031803,              0.0031803
                     15,                 3.0447,                 3.2703,                 3.8132,                0.00253,                0.52466,                0.02655,                0.00875,                 2.6158,                  3.906,                 3.8179,               0.056304,              0.0033041,              0.0033041
                     16,                  3.075,                 3.2769,                 3.7938,                0.00255,                0.52915,                0.04147,                0.01334,                 2.6144,                 3.9022,                 3.8016,               0.053416,               0.003416,               0.003416
                     17,                 3.1174,                 3.1669,                 3.7948,                0.00252,                0.52466,                0.04796,                 0.0154,                 2.6136,                  3.903,                 3.7873,               0.050516,               0.003516,               0.003516
                     18,                 3.0067,                 3.2365,                 3.7616,                0.00259,                0.53812,                0.02207,                0.00734,                 2.6129,                 3.9068,                  3.775,               0.047604,              0.0036042,              0.0036042
                     19,                 3.0208,                 3.1196,                 3.7122,                0.00263,                0.54709,                0.00471,                0.00157,                 2.6117,                 3.9091,                 3.7629,                0.04468,              0.0036804,              0.0036804
                     20,                 3.0448,                 3.0688,                 3.7212,                0.00261,                 0.5426,                0.00462,                0.00153,                 2.6116,                 3.9108,                 3.7519,               0.041745,              0.0037448,              0.0037448
                     21,                 2.9905,                 2.9733,                 3.6653,                0.00261,                 0.5426,                 0.0058,                0.00171,                   2.61,                 3.9062,                 3.7392,               0.038797,              0.0037973,              0.0037973
                     22,                 2.9594,                 2.8568,                 3.6629,                0.00261,                 0.5426,                0.02305,                0.00711,                 2.6088,                 3.8987,                 3.7267,               0.035838,              0.0038379,              0.0038379
                     23,                 2.9302,                 2.8724,                 3.6181,                0.00261,                 0.5426,                0.03665,                0.01094,                  2.607,                 3.8845,                 3.7115,               0.032867,              0.0038667,              0.0038667
                     24,                 2.9055,                 2.8515,                 3.5944,                0.00258,                0.53812,                0.03837,                0.01173,                 2.6045,                 3.8666,                 3.6971,               0.029884,              0.0038835,              0.0038835
                     25,                  2.873,                 2.7845,                 3.5709,                0.00265,                0.55157,                0.05013,                0.01571,                  2.601,                 3.8405,                 3.6776,               0.026888,              0.0038885,              0.0038885
                     26,                 2.8859,                 2.8472,                 3.5658,                 0.0032,                0.59193,                0.05033,                0.01519,                 2.5977,                 3.8178,                  3.665,               0.023882,              0.0038816,              0.0038816
                     27,                 2.8182,                 2.6982,                 3.4818,                 0.0049,                 0.6009,                 0.0617,                0.02051,                 2.5897,                 3.7685,                 3.6403,               0.020863,              0.0038628,              0.0038628
                     28,                  2.838,                 2.6024,                 3.4853,                0.00523,                0.70404,                 0.0499,                0.01915,                 2.5859,                 3.5323,                 3.5672,               0.017832,              0.0038322,              0.0038322
                     29,                 2.8253,                 2.7004,                 3.4605,                0.00513,                0.69507,                0.07607,                0.02739,                 2.5765,                 3.5878,                 3.5554,                0.01479,              0.0037896,              0.0037896
                     30,                 2.7186,                 2.5926,                 3.3751,                0.00606,                0.69955,                0.06993,                0.02705,                 2.5787,                 3.5408,                 3.5368,               0.011735,              0.0037352,              0.0037352
                     31,                 2.7405,                 2.5782,                 3.3144,                 0.0078,                0.63229,                0.08203,                0.02979,                 2.5469,                 3.6463,                 3.5527,              0.0086689,              0.0036689,              0.0036689
                     32,                 2.6643,                 2.4993,                 3.2989,                0.20713,                0.17937,                 0.1169,                 0.0381,                 2.5318,                 3.3418,                 3.4523,              0.0055907,              0.0035907,              0.0035907
                     33,                 2.5723,                 2.3813,                  3.233,                0.00692,                0.74888,                0.12914,                0.04313,                 2.4656,                 3.3956,                 3.4165,               0.003466,               0.003466,               0.003466
                     34,                 2.6803,                 2.5842,                 3.2676,                0.40206,                0.03139,                0.12505,                0.04657,                 2.4129,                 3.3681,                 3.3783,               0.003466,               0.003466,               0.003466
